riding_code,poll_number,title,address,city,postal_code
10001,10,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,20,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,30,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,40,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,50,Hilton Garden Inn Toronto - Oakville BRONTE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,60,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,70,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,80,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,90,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,100,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,110,Hilton Garden Inn Toronto / Oakville LAKESHORE,2774 South Sheridan Way,Oakville,L6J 7T4
10001,120,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,130,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,140,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,150,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,160,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,170,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,180,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,190,Clearview Christian Reformed Church,2300 Sheridan Garden Drive,Oakville,L6J 7G4
10001,200,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,210,Emporium II -- HSCC #640,2480 Prince Michael Drive,Oakville,L6H 0H1
10001,220,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,230,Emporium I -- HSCC #595,2470 Prince Michael Drive,Oakville,L6H 0H1
10001,240,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,250,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,260,Iroquois Ridge Secondary School,1123 Glenashton Drive,Oakville,L6H 5M1
10001,270,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,280,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,290,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,300,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,310,Maplegrove United Church,346 Maple Grove Drive,Oakville,L6J 4V5
10001,320,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
10001,330,Oakville Town Hall,1225 Trafalgar Road,Oakville,L6H 0H3
