riding_code,poll_number
46011,1290
35088,1360
35063,500
35043,1120
35062,60
35004,430
35040,80
35027,4180
35028,840
35029,920
35029,1310
35062,820
35027,1140
35027,1660
35027,530
35062,670
35027,4330
35028,4140
35099,910
48010,1480
35016,470
35047,1610
35045,920
35016,190
35083,890
35016,1190
35083,130
35045,330
35046,520
35047,350
35066,1450
35047,5010
35016,770
35048,730
35016,560
35047,370
35016,1250
35045,450
35016,50
35113,380
35073,210
35016,1410
35047,210
13003,1450
35016,250
35040,1820
35067,520
35112,1310
35066,1470
35111,250
35016,4050
35016,1480
35016,1370
35016,980
35016,690
35033,1330
35016,20
35016,680
24042,820
24058,1240
24008,570
24059,1270
24044,1410
24044,1070
24045,320
10002,1520
61001,710
10007,520
59009,1900
24077,4230
24052,230
24044,870
24059,960
24077,5020
24077,4240
24037,40
24077,1590
24040,4060
24017,1840
24077,4100
24014,1910
24077,1270
24077,4210
24055,790
59036,940
24077,1680
24056,1340
24036,1160
24077,1690
24077,1710
35079,630
24037,1530
24021,1360
24017,1500
59021,600
24032,620
24037,100
24037,1400
24016,20
24054,240
24017,1850
24016,920
24041,240
24054,1210
59018,1450
59027,30
35108,4130
35058,90
35072,2070
35073,490
35067,1990
35028,460
35030,430
35072,4050
35073,960
35067,1540
35108,4641
35073,640
35072,320
35030,470
35073,1000
35015,300
35099,720
35060,450
35056,4000
35045,850
35062,830
35060,570
35087,1350
35061,1810
35034,890
35012,1300
35028,4310
35063,1660
35063,1850
35072,350
35060,1660
35057,1120
35027,1310
35058,860
35038,1760
35060,1350
35057,1390
35058,4050
24043,1300
35060,1120
35072,1810
35073,1540
35063,1070
35069,600
35069,1670
35103,1330
35069,320
35070,540
35070,1080
35069,890
35069,290
35069,500
35103,5020
35057,1470
35002,750
35093,640
35023,660
35121,180
35029,1320
59042,290
35016,670
35082,520
35112,270
35072,460
35016,590
35013,1600
13007,800
35016,1040
35080,30
10005,1420
35047,200
35033,1550
35016,440
35080,420
13006,890
35066,1430
35016,1230
35082,1130
35045,1240
35016,430
35027,340
35099,2570
35034,870
35027,4270
35082,830
35059,1260
35061,230
35005,70
35031,810
35006,480
35069,460
35069,270
35032,230
35032,390
35047,1370
35005,850
35061,4150
35032,290
35014,2170
35040,410
35037,1200
35113,1790
35025,40
35014,1260
35040,840
35113,2180
35015,640
35113,2190
35032,10
35083,730
35017,1090
35040,1540
35046,1800
35032,1180
35032,4110
24039,990
48020,1780
24036,270
24074,1500
24074,1540
24036,830
24056,1790
24071,1180
48033,1510
35050,110
24071,590
24056,1310
24029,4020
24074,1640
24064,1120
24016,260
24051,260
24074,1980
35031,370
24071,760
24074,1510
24074,1770
24074,4060
24074,1600
12008,500
24074,200
24071,1450
24074,660
24044,480
24042,1140
24058,1010
24062,740
24076,1390
24042,1780
24058,1960
24044,120
24047,630
24059,810
24044,1770
24010,1590
24058,1150
24059,1550
24010,460
24042,30
24044,990
24045,90
24070,5250
24045,1770
24030,150
13005,270
24066,1850
24044,590
35060,1820
35113,1460
35072,50
35018,1190
35062,550
35058,510
35060,540
35012,1010
35063,1300
24034,10
24075,1400
24077,360
24017,720
24053,540
24029,1230
24068,760
24065,640
24057,2270
24056,1770
24064,1860
24024,1930
24064,960
24037,200
24074,180
24037,1580
24056,1420
24068,1240
35015,1830
24048,1380
24039,1090
24068,1300
24059,1830
24054,850
24052,390
24024,1110
24069,290
24017,280
24052,280
24011,2060
59023,950
24027,1550
24053,1680
24017,1730
24031,5270
24077,370
35057,1000
24011,2180
24032,880
24049,710
24061,840
24021,1580
24024,270
24037,240
48010,1670
24017,560
24049,90
24054,860
24077,320
24055,590
24054,1100
24024,1530
24064,140
24029,930
24015,1570
24077,690
24041,120
35045,930
35045,140
35045,1360
35046,1190
35045,1370
35046,1010
35112,470
35080,1790
12003,930
35047,1710
35112,1280
35112,5020
35045,790
35083,100
59033,1370
35045,1400
35045,1200
35047,700
35045,1650
35045,190
35091,910
35046,840
35045,1190
35045,1840
35045,5070
35047,540
24016,580
24011,1180
24014,600
24049,160
24055,110
24025,170
24049,610
35102,50
24011,1670
24011,1140
24016,1250
24034,1660
24067,150
24028,1200
24011,390
24072,2150
24050,410
24028,970
24015,550
24011,2040
24011,1760
24011,470
24049,830
24074,1190
24021,1220
24036,750
24013,40
24074,340
24065,470
35041,1250
35046,770
35072,1970
35112,1300
35024,120
35064,1750
35064,1310
35064,1930
35086,1250
35086,950
35064,1070
35075,30
35039,980
35016,140
35016,1120
35016,1500
35047,90
35016,860
35045,390
35016,1100
13007,1060
35080,2080
35016,380
35016,1450
35016,1210
35047,510
35107,920
35016,1150
10005,1500
10002,2050
35016,1800
35086,1150
24026,440
35046,280
35045,1470
48034,840
35016,930
35032,1820
35074,570
35119,700
35074,1090
35001,1750
35101,4200
35096,4130
35114,440
35055,140
35055,280
24071,1120
24037,160
47003,400
24072,1400
24053,1620
24077,1550
24073,1060
48020,350
24052,900
24074,670
24056,930
24077,950
35108,4530
24077,890
24039,490
35076,730
24068,4060
35076,2010
24028,40
24053,460
24053,620
24024,4010
48027,1710
24029,4000
12006,1880
35032,920
35032,960
35032,100
35113,1870
35032,90
10005,1100
35032,4000
35032,210
35032,470
35113,1270
35003,840
35013,70
35013,190
35030,340
35014,1870
35032,1550
12009,1610
35014,680
35016,1030
35032,1070
35032,1810
35032,1880
35100,2170
35036,1600
35034,1210
35046,1250
35083,820
24018,5230
24020,1850
24044,1540
24003,4080
24029,1500
24037,630
24055,1490
24037,1360
24075,1330
24074,2010
24037,1110
24039,1110
24077,1080
24067,120
24077,1620
35075,1290
35119,720
24021,130
24033,1490
24062,1690
24016,930
24024,5160
24020,700
24041,1210
24030,1190
24037,1010
24021,360
24013,930
24027,1590
47012,1160
24034,180
24044,1900
24008,350
24044,600
24050,1550
24010,4050
24048,1450
24019,810
24026,1440
13001,410
24045,4040
24010,2070
24042,100
24042,2110
24044,930
24042,1090
24058,1900
24008,1390
24043,1350
35053,670
35052,40
48008,880
35026,680
35051,980
35053,1460
35054,1060
35054,1360
35093,690
35004,1330
12001,270
12010,1490
12004,1720
12010,130
12010,1080
59024,540
12010,100
12001,100
12001,290
12001,60
12010,120
48004,220
35043,2020
35005,1050
35055,240
35007,890
12005,680
35065,40
35119,940
35054,500
35028,990
35040,1850
35028,1670
35067,1910
35004,660
35098,1400
35109,1460
35040,50
35007,1040
35049,140
35015,1620
35028,320
35033,1630
35023,1390
35007,820
35084,2340
35024,4120
59041,1010
35007,150
35007,1260
35021,1090
35088,990
35034,240
35105,570
35018,1150
59042,1560
12006,1460
35097,1640
35007,730
12002,910
35072,670
35098,1050
12006,590
35004,940
35075,980
48005,1970
35047,140
35057,1210
35047,320
35067,1720
35098,5040
35048,650
