riding_code,riding_name,province
10001,Avalon,Newfoundland
10002,Bonavista-Burin-Trinity,Newfoundland
10003,Coast of Bays-Central-Notre Dame,Newfoundland
10004,Labrador,Newfoundland
10005,Long Range Mountains,Newfoundland
10006,St. John's East,Newfoundland
10007,St. John's South Mount Pearl,Newfoundland
11001,Cardigan,Prince Edward Island
11002,Charlottetown,Prince Edward Island
11003,Egmont,Prince Edward Island
11004,Malpeque,Prince Edward Island
12001,Cape Breton-Canso,Nova Scotia
12002,Central Nova,Nova Scotia
12003,Cumberland-Colchester,Nova Scotia
12004,Dartmouth-Cole Harbour,Nova Scotia
12005,Halifax,Nova Scotia
12006,Halifax West,Nova Scotia
12007,Kings-Hants,Nova Scotia
12008,Sackville-Preston-Chezzetcook,Nova Scotia
12009,South Shore-St. Margarets,Nova Scotia
12010,Sydney-Victoria,Nova Scotia
12011,West Nova,Nova Scotia
13001,Acadie-Bathurst,New Brunswick
13002,Beauséjour,New Brunswick
13003,Fredericton,New Brunswick
13004,Fundy Royal,New Brunswick
13005,Madawaska-Restigouche,New Brunswick
13006,Miramichi-Grand Lake,New Brunswick
13007,Moncton-Riverview-Dieppe,New Brunswick
13008,New Brunswick Southwest,New Brunswick
13009,Saint John–Rothesay,New Brunswick
13010,Tobique-Mactaquac,New Brunswick
24001,Abitibi-Baie-James-Nunavik-Eeyou,Quebec
24002,Abitibi-Témiscamingue,Quebec
24003,Ahuntsic-Cartierville,Quebec
24004,Alfred-Pellan,Quebec
24005,Argenteuil-La-Petite-Nation,Quebec
24006,Avignon-La Mitis-Matane-Matapédia,Quebec
24007,Beauce,Quebec
24008,Beauport-Limoilou,Quebec
24009,Bécancour-Nicolet-Saurel,Quebec
24010,Bellechasse-Les Etchemins-Lévis,Quebec
24011,Beloeil-Chambly,Quebec
24012,Berthier-Maskinongé,Quebec
24013,Thérèse De Blainville,Quebec
24014,Pierre-Boucher-Les Patriotes-Verchères,Quebec
24015,Bourassa,Quebec
24016,Brome-Missisquoi,Quebec
24017,Brossard-Saint-Lambert,Quebec
24018,Rimouski-Neigette-Témiscouata-Les Basques,Quebec
24019,Charlsebourg-Haute-Saint-Charles,Quebec
24020,Beauport-Côte-de-Beaupré-Île d’Orléans-Charlevoix,Quebec
24021,Châteauguay-Lacolle,Quebec
24022,Chicoutimi-Le Fjord,Quebec
24023,Compton-Stanstead,Quebec
24024,Dorval-Lachine-LaSalle,Quebec
24025,Drummond,Quebec
24026,Gaspésie–Les Îles-de-la-Madeleine,Quebec
24027,Gatineau,Quebec
24028,Hochelaga,Quebec
24029,Honoré-Mercier,Quebec
24030,Hull-Aylmer,Quebec
24031,Joliette,Quebec
24032,Jonquière,Quebec
24033,La pointe-de-l'Île,Quebec
24034,La Prairie,Quebec
24035,Lac-Saint-Jean,Quebec
24036,Lac-Saint-Louis,Quebec
24037,LaSalle-Émard-Verdun,Quebec
24038,Laurentides-Labelle,Quebec
24039,Laurier-Sainte-Marie,Quebec
24040,Laval-Les Îles,Quebec
24041,Longueuil-Charles-LeMoyne,Quebec
24042,Lévis-Lotbinière,Quebec
24043,Longueuil-Saint-Hubert,Quebec
24044,Louis-Hébert,Quebec
24045,Louis-Saint-Laurent,Quebec
24046,Manicouagan,Quebec
24047,Mégantic-L'Érable,Quebec
24048,Mirabel,Quebec
24049,Montarville,Quebec
24050,Montcalm,Quebec
24051,Montmagny-L'Islet-Kamouraska-Rivière-du-Loup,Quebec
24052,Mount Royal,Quebec
24053,Notre-Dame-de-Grâce-Westmount,Quebec
24054,Outremont,Quebec
24055,Papineau,Quebec
24056,Pierrefonds-Dollard,Quebec
24057,Pontiac,Quebec
24058,Portneuf-Jacques-Cartier,Quebec
24059,Québec,Quebec
24060,Repentigny,Quebec
24061,Richmond-Arthabaska,Quebec
24062,Rivière-des-Mille-Îles,Quebec
24063,Rivière-du-Nord,Quebec
24064,Rosemount-La Petite-Patrie,Quebec
